"tweet","user_screenname","tweet_url"
"#floor #seats #u2thejoshuatree2017 \n🎶🎸💜 https://t.co/1HcbvSaAmj","jfcavallo","http://twitter.com/undefined/status/879126387361173505"
"@stacyonthex I got row L on the floor.  First they offered me dirt seats and I got em thinking it would sellout the… https://t.co/wTA4K6Gonu","TheeUnabonger","http://twitter.com/undefined/status/879126107819081729"
"If Justin goes on tour again, best believe I'm gunna have floor seats!","bieberchick97","http://twitter.com/undefined/status/879123787161128960"
"RT @AshHoudini: Gucci, Migos, Rae Shremmurd, Young Thung under the same roof with floor seats. It was Crazyyyyyyy https://t.co/MyQtvEydjs","taelyrds3","http://twitter.com/undefined/status/879123728495280128"
"RT @ughdontniall: If anyone wants a Shawn ticket to his Miami show my friend is selling 1!!\n\nTHEY ARE FLOOR SEATS FOR SHAWN!!! https://t.co…","L31LAN1_","http://twitter.com/undefined/status/879119256339787776"
"FLOOR SEATS BABY! U2 🎶🎸💃🏽","jfcavallo","http://twitter.com/undefined/status/879119069059969024"
"https://t.co/2IstAcsYG9 The Who  3 FLOOR seats on the isle - Atlantic City 07/22/17 $599 for 3 seats!","ReeeemixHQ","http://twitter.com/undefined/status/879116392351576065"
"Seriously. I can get floor seats to her concert march 21 if someone goes in on it with me.","Fandom__Life","http://twitter.com/undefined/status/879111616440217600"
"Damaris needs to get pit tickets or floor seats. She deserves it the most 💙","icyoccasion","http://twitter.com/undefined/status/879108268873920513"
"@backfirehes so idk floor seats can be as good as/better than GA if you have like first - 5th row bc you see the stage really well","burningstiles","http://twitter.com/undefined/status/879107349935529991"
"@backfirehes floor seats are behind GA, GA is standing","burningstiles","http://twitter.com/undefined/status/879107063326138372"
"AND I GOT FLOOR SEATS OMG","BYE_sarah_","http://twitter.com/undefined/status/879106536219570176"
"@CarGuyDad No no, that *is* my house. Floor to ceiling windows and a living room that seats five","RSorokanich","http://twitter.com/undefined/status/879106348063109123"
"i feel so dumb but i don't know which is better floor seats or GA??","backfirehes","http://twitter.com/undefined/status/879106271852589057"
"just imagine lmao i'd have 1500 dollars right now id be able to buy my own dam floor seats the fuck","atlascamila","http://twitter.com/undefined/status/879105371268304897"
"U2. In the rain. Floor seats. No seats and my ankle's sprained. BUT #U2 #JOSHUATREE GUYS https://t.co/IK5m7G8tgj","anjufordinner","http://twitter.com/undefined/status/879105212417486848"
"https://t.co/ZCTQrh2xEO MSG PHISH TICKETS 8/2/17 GA Floor Seats","ReeeemixHQ","http://twitter.com/undefined/status/879103818469953542"
