"tweet","user_screenname","tweet_url"
"@dcassepoolman @southerngirl151 @CrowCove @soldier2cop @GA_Peach1776 @Het32000 @DoubleT28425154 @OscarrMikee… https://t.co/lHve7eIRuV","InfidelAims","http://twitter.com/undefined/status/879114444638474241"
"I'll be closer in Cleveland next week in the GA/Pit - tonight relaxing in a… https://t.co/DP4blqqtJE","DeenasDays","http://twitter.com/undefined/status/879112428142952449"
"@mysteriousdays @Rusty_Olson @u2gigs Springsteen has had GA lottery for US for years. For me, just getting spot in… https://t.co/KAU3Cm1WfF","rnrdiva","http://twitter.com/undefined/status/879109318989287424"
"Pero naa jud koy na amigo sa circle pit while ga yoga oi kayata ambot asa nato siya","ihatelougambong","http://twitter.com/undefined/status/879108641420267520"
"@Fact Gini juga ga pit? Wgwg @Puspitanurs","mohrobiris","http://twitter.com/undefined/status/879106572600856576"
"FT: 2 GA Pit For ANY 3 Tix @DeadandCompany #facevaluetickets #deadandcompany #JohnMayer #facevalue  [Go: https://t.co/JwktszRUoO]","CashorTrade","http://twitter.com/undefined/status/879100368252276737"
"More than 140 vintage cars in the Great Race made a pit stop in #RomeGa and headed up Ga.156 to Chattanooga.… https://t.co/Nmi096b0lA","DianeWagner1","http://twitter.com/undefined/status/879096708294201345"
"@1DTicketHelp hi I'm selling a GA/PIT ticket for harry's july 14th show at the forum!","muItiply","http://twitter.com/undefined/status/879091269158535175"
"@Pit_Daniel Ga ik ff checken ! Thanks :)","ArvidBuit","http://twitter.com/undefined/status/879071560493150216"
"i wanna be in ga so badly so like they can have seats while i be in pit sweating bullets","uncrossedtyler","http://twitter.com/undefined/status/879064140605739008"
"@cistephani goodgirl, baru mau gua bacok balik kalo ga inget , gua baru on lagi ini pit setelah yaa bbrp bulan. mngkn krna tau lo mau on jg?","ChoMarcus_","http://twitter.com/undefined/status/879061441336139776"
"Since I was in P2 GA I was in the pit but at the last part of the stage cos you know how they all come out in the end yea that's where I was","hwangtzuyu","http://twitter.com/undefined/status/879037581106851842"
"RT @hoIdingtyler: the friends that i gave my GA tickets to have such amazing spots in the pit i'm so happy :)","laurenwithay","http://twitter.com/undefined/status/879025700442853380"
"@pipitrst Ga pulang pit","rifkiassadur","http://twitter.com/undefined/status/879020906605158403"
"RT @pewpue: if anyone is selling harry styles ga pit tickets for houston hmu i'll love u forever #HarryStylesLiveonTour","HESOnTourCo","http://twitter.com/undefined/status/879017760541466626"
"Is anyone selling GA pit tickets for #TourDeSchott   #TourDeColumbus #TwentyOnePilots","ethlopes","http://twitter.com/undefined/status/879005150924374016"
"RT @durgsmami: ""Bikin mesin waktunya gimana pit?""\n""Pake cinta""\n\nNyesel nanya. Ga pernah dijawab serius dasar upil anoa","Ritzvaille","http://twitter.com/undefined/status/878993397771419648"
"""Bikin mesin waktunya gimana pit?""\n""Pake cinta""\n\nNyesel nanya. Ga pernah dijawab serius dasar upil anoa","durgsmami","http://twitter.com/undefined/status/878993172147224576"
"@HSTourHelp selling a GA/PIT ticket for harry's 2nd show at the forum in LA! dm for details","muItiply","http://twitter.com/undefined/status/878991687342862336"
"@HSTourHelp I'm selling a PIT/GA ticket for the forum night 2 dm me if interested","muItiply","http://twitter.com/undefined/status/878991497114394626"
"RT @NenadPantelic: Setimo se Spa '98 i naglog kočenja Kultarda ispred Šumahera. Završilo se tako sto je Šumi jurio Kultarda po pit lejnu da…","brankecm","http://twitter.com/undefined/status/878979305874874368"
"Setimo se Spa '98 i naglog kočenja Kultarda ispred Šumahera. Završilo se tako sto je Šumi jurio Kultarda po pit lejnu da ga bije #skf1","NenadPantelic","http://twitter.com/undefined/status/878978943449260033"
"https://t.co/Q1duJsRb0u SOLD OUT GA PIT Ticket Rammstein Korn Stone Sour  Las Vegas 7/1/17 (Last One)","ReeeemixHQ","http://twitter.com/undefined/status/878967894390001664"
"serunya ngider2 lebaran, di tiap pit stop makanannya biasanya ada yang beda.\n\nn laen dari kebanyakan, di keluarga gue malah ga maen opor  😁","donowhy","http://twitter.com/undefined/status/878966140474540032"
"Imala sam pit bula a uzeh ga tako što mi se popiškio kao štene na patiku reko ti si moj i sve dok mi ga na Božič 2011-e nisu ubili 😥","kamilicaj32","http://twitter.com/undefined/status/878960436472938496"
"RT @beauctty: @Baerfbie JADI SLAMA INI DEPIT YG SUKA NYIUM GUA DIEM2 PAS GUA TIDUR???? GA NYANGKA LOH PIT GA NYANGKA","Steuphanny","http://twitter.com/undefined/status/878953095128006656"
"Anyone need 1 GA/Pit tonight to #NKOTB #TotalPackageTour in DC contact @abulous","DeenasDays","http://twitter.com/undefined/status/878951767039512576"
"Untung ga masuk pit tadi, kalo masuk mah berantakan kaya si zarco wkwkwkland","eLVirgi_26","http://twitter.com/undefined/status/878941862467256322"
"assen mo turun ujan, ini ga ada yg masuk pit ape gela gela","nandomonerae","http://twitter.com/undefined/status/878939809271566337"
"Eagle Scout and hopeful Navy aviator build fire pit at Military Aviation Museum in Virginia B.. #aviation #bhive https://t.co/XpedytL376","BhiveC19j","http://twitter.com/undefined/status/878916847302791168"
