"tweet","user_screenname","tweet_url"
"RT @_rone: Seats reserved for people in wheelchairs, orchestra conductors, ppl w/pierced ears, thespians, cabaret workers and fat chicks. h…","emillie_hood","http://twitter.com/undefined/status/879125247479488512"
"ists take seats in Orchestra, white furs, diamonds,","gbf_kaddish","http://twitter.com/undefined/status/879113614434508800"
"IM SO EXCITED FOR WEDNESDAY OMG I SEE @brendonurie IN KINKY BOOTS WITH ORCHESTRA SEATS 😭😭😭😭😭","JaimeLynQuinn","http://twitter.com/undefined/status/879004753384136704"
"@PaulVirzi why did they switch all reserved orchestra seats to general admission for the special? I had great seats that are now gone.","GradeAPork","http://twitter.com/undefined/status/878993667540779008"
"RT @bendy_ebooks: hol up *fills all the seats in the orchestra with cutouts* WE DEM BOYS","idk_idc_02","http://twitter.com/undefined/status/878973173131350016"
"ists take seats in Orchestra, white furs, diamonds,","gbf_kaddish","http://twitter.com/undefined/status/878924327571275777"
"RT @teatroallascala: Tonight at 8pm Bernard Haitink conducts Beethoven’s Missa Solemnis. Last seats available  https://t.co/iyepHIDPO2 http…","Lucky62058333","http://twitter.com/undefined/status/878878450177777664"
"When broadway in Chicago hooks you up so good with seats to the king in I your sitting in row B of the orchestra @broadwaychicago 😘😘😘😘😘😘😘❤❤❤","joeygoesrawr","http://twitter.com/undefined/status/878851261667450880"
"RT @_rone: Seats reserved for people in wheelchairs, orchestra conductors, ppl w/pierced ears, thespians, cabaret workers and fat chicks. h…","kayleejensen","http://twitter.com/undefined/status/878846846008836096"
"RT @jfox873: #LOTR Return of the king tonight!! At @MannCenter with a live Orchestra!! Perfect seats, let's do this Mann!! https://t.co/dgp…","per_leegsources","http://twitter.com/undefined/status/878821572244582402"
"RT @OKKinderhookRG: Ticket for 2 Orchestra seats for Ford's Theatre the night Lincoln was assassinated https://t.co/S7lJrXQnKK #Lincoln #as…","AndrewzNancyna","http://twitter.com/undefined/status/878816858916347904"
"Thanks @leenarivera for front row seats! Bravo to the orchestra, conductor, and composer for sharing their magic t…… https://t.co/4Z8bQfYr1K","fvisaya","http://twitter.com/undefined/status/878816091312664576"
"@evanhansenn yeah but most times they are really good orchestra seats","olivialovesbway","http://twitter.com/undefined/status/878804084899368960"
"RT @jfox873: #LOTR Return of the king tonight!! At @MannCenter with a live Orchestra!! Perfect seats, let's do this Mann!! https://t.co/dgp…","ThomasFox_4","http://twitter.com/undefined/status/878788468809314304"
"hol up *fills all the seats in the orchestra with cutouts* WE DEM BOYS","bendy_ebooks","http://twitter.com/undefined/status/878779291982548992"
"Orchestra pit seats for NSO tribute to John Williams, and the ability to bring booze inside the… https://t.co/hUxW5uZh7A","ThorWold","http://twitter.com/undefined/status/878772428935233537"
"National Theatre is buzzing: https://t.co/7f4xCCrvJb - RT @Daphnevibeslife Orchestra seats! #rentthemusical @ National Theatre Washington...","DC_Places","http://twitter.com/undefined/status/878770210529886209"
"Orchestra seats! #rentthemusical @ National Theatre Washington, D.C. https://t.co/6MO7UtqW9B","Daphnevibeslife","http://twitter.com/undefined/status/878764787710255104"
"44. Those who use seats (balcony vs orchestra) as a basis of being a fan are the worst kind of fans. SHAAAAME!","leamourxx","http://twitter.com/undefined/status/878759465893285888"
