"tweet","user_screenname","tweet_url"
"【求】チケット譲ってください 8/23 (水) INABA SALAS MIYAVI Made in Asia 豊洲PIT (東京) https://t.co/JCuorK9gB7 #稲葉浩志 #Bz #koshiinaba #稲ソロ","ticket_bbs","http://twitter.com/undefined/status/879126632912400384"
"Ordered me and Josh's pit tickets for @dariusrucker ❣️ soooo excited 😊","celinelovesu20","http://twitter.com/undefined/status/879124016358928384"
"RT @illumnatebieber: GUYS THIS SHIT REALLY WORKS. 1 DAY AFTER I RETWEETED THIS I WON TICKETS TO SEE JUSTIN AND ONE WEEK LATER I WON THE PIT…","sunxloueh","http://twitter.com/undefined/status/879122644418912257"
"arena's always hold out tickets because they don't know how full the pit will be and once they see they'll have room they drop tix shut up","swingsucker","http://twitter.com/undefined/status/879120739584135169"
"@Rachel_Marie_22 Yes 🙈 but I get pit tickets and a preshow with him!","ohrizzacasa","http://twitter.com/undefined/status/879117037683060740"
"RT @CameronLaneCook: I'm buying you tickets to a show so you can finally go with wreck a pit with us happy bday @alexcampbell77","alexcampbell77","http://twitter.com/undefined/status/879116242791124993"
"I'm buying you tickets to a show so you can finally go with wreck a pit with us happy bday @alexcampbell77","CameronLaneCook","http://twitter.com/undefined/status/879114930682769408"
"Yesterday was a dream come true. Austyn spoiled me with pit tickets and I won us meet &amp; greets - I'd say we make a… https://t.co/wii1IwmzHb","paigebarile","http://twitter.com/undefined/status/879113329171734530"
"this is bullshit lol i asked the box office three times if they had pit tickets and they said no i'm going to cry","cardadio","http://twitter.com/undefined/status/879110730943004672"
"RT @AtlantaBlaze: Only 3 home games left! See you at the Fire Pit on July 1.\n📱: 855.44.BLAZE\n🎟: https://t.co/ShoNJaOc4x https://t.co/U39FWi…","ninitran2013","http://twitter.com/undefined/status/879109721923387392"
"RT @WillieNelson: Don't miss your chance for a once in a lifetime VIP package to @FarmAid The auction is open for a limited time https://t.…","glutenfreefoodi","http://twitter.com/undefined/status/879108885537210368"
"did they release more pit tickets","cardadio","http://twitter.com/undefined/status/879108717622546470"
"Damaris needs to get pit tickets or floor seats. She deserves it the most 💙","icyoccasion","http://twitter.com/undefined/status/879108268873920513"
"@padimaige @907bis I don't need tickets I just left without getting my tour hoodie ): and don't want anyone in the pit worrying about me.","cynicaIdun","http://twitter.com/undefined/status/879107760738246656"
"@tinyballerini one sees it. Just stop. No there were 5 pit tickets available. There was another girl who was also t… https://t.co/5zReldOwmg","RaeganStiebel","http://twitter.com/undefined/status/879107105193701376"
"RT @ibieberthought: Yesterday I had lost my seated tickets for justin and then I got given a pit ticket..what kinda luck, looks like my luc…","biebergrier6","http://twitter.com/undefined/status/879106432154517504"
"@tinyballerini She was not treated a certain way. There was a limited amount of PIT tickets. 3 were given to people… https://t.co/zUpjPfBsBR","RaeganStiebel","http://twitter.com/undefined/status/879106302496124928"
"11:11 get pit tickets to justins next tour, meet justin, bella and kendall","EmbraceKendall","http://twitter.com/undefined/status/879099640091729920"
"If anyone is selling or knows of someone selling pit purpose tour tickets for Arlington TX LMK!!","SADGALDIDI","http://twitter.com/undefined/status/879096429331046400"
"@Cheeseflakies yeah but they were out of pit tickets :/","cardadio","http://twitter.com/undefined/status/879093008456699905"
"RT @AtlantaBlaze: Only 3 home games left! See you at the Fire Pit on July 1.\n📱: 855.44.BLAZE\n🎟: https://t.co/ShoNJaOc4x https://t.co/U39FWi…","FTBstadium","http://twitter.com/undefined/status/879092994162520064"
