"tweet","user_screenname","tweet_url"
"Be a Fourth of July VIP! Register to win the Best Seats in the City at #FreedomFestIndy right here »… https://t.co/7USHr7DeO4","FireworksINDY","http://twitter.com/undefined/status/879127301606305796"
"RT @h_crowder4: @milesca_17 house is the best. He has padded toilet seats 🤘🏽","milesca_17","http://twitter.com/undefined/status/879126608237473792"
"@milesca_17 house is the best. He has padded toilet seats 🤘🏽","h_crowder4","http://twitter.com/undefined/status/879126362065436672"
"Bring it on!! Barack is the best thing going for GOP! His real legacy is GOP control of House, Senate, Potus &amp; most… https://t.co/VL6wVbYbQj","CalifForTrump","http://twitter.com/undefined/status/879124619508064256"
"If Justin goes on tour again, best believe I'm gunna have floor seats!","bieberchick97","http://twitter.com/undefined/status/879123787161128960"
"RT @PinupPoleShow: July 21 &amp; 22 are our next extravaganzas - reserve the best seats today https://t.co/4FsfMnG1yp #poledance https://t.co/E…","BrakDBarbarian","http://twitter.com/undefined/status/879122194021875714"
"RT @FinnBalor: Best seats in the house.. With @RealMickFoley &amp; @wwenxt fans ringside at #takeoverbrooklyn #NationalSelfieDay #SelFinn https…","SphesihM","http://twitter.com/undefined/status/879121477722877952"
"@60ft6in @MLB @Mets @TimTebow It is obvious Mets r filling seats &amp; making $ based on entertainment &amp; not just best… https://t.co/nbtyS0ivoH","Fighter4Hire","http://twitter.com/undefined/status/879119381845946369"
"@theteacherchris I'm in town for the whole weekend so I figured this game we could get best seats. Free shirt Frida… https://t.co/NYUzYn2yEU","MetsHomeRunGuy","http://twitter.com/undefined/status/879115638199001088"
"Me and the BFF at the WWE live event!! She picked the best possible mid-priced seats AGAIN https://t.co/cKzwowz2fF","RoseLerner","http://twitter.com/undefined/status/879115128372908032"
"@HarryInDuluth I have 108 row g and also f4 row c. Trying to figure out the best seats so I can sell the others at… https://t.co/s8ajUzMtCL","misennock","http://twitter.com/undefined/status/879112260026806272"
"#Articles at https://t.co/tCFBImE41y : https://t.co/yEqGvOAQa5 Season in season out, choose best Seats for sp…… https://t.co/P6ET7SPtE4","NutritionistGal","http://twitter.com/undefined/status/879112209791582212"
"RT @murphyfitness: Need THE BEST TICKETS for any event? This is the place https://t.co/d7pAElbzsG dugout club seats for Dodgers games 👍😎 ht…","DebbieMayf","http://twitter.com/undefined/status/879109243449647104"
"They are aware that meet and greet get the best seats, however those seats are first come first served. That's the… https://t.co/H6fDT15F0r","paulbyrom","http://twitter.com/undefined/status/879108207171555328"
"RT @murphyfitness: Need THE BEST TICKETS for any event? This is the place https://t.co/d7pAElbzsG dugout club seats for Dodgers games 👍😎 ht…","Anapena35","http://twitter.com/undefined/status/879106235081125888"
"Need THE BEST TICKETS for any event? This is the place https://t.co/d7pAElbzsG dugout club seats for Dodgers games… https://t.co/d8uBGIKn1B","murphyfitness","http://twitter.com/undefined/status/879106099466522624"
"@CNNPolitics @cnnbrk That is one of the best descriptions of ACA I have heard yet. This is why Nancy you have my vo… https://t.co/Tnl1gLMgxs","VALUTEX1","http://twitter.com/undefined/status/879105214925635585"
"@IDreamOnDemand @jkfecke @dooglives @PearlJolly @DanielPKrouse @Wilson__Valdez @nycbubbles @T_FisherKing The people… https://t.co/jFs6jiACUU","shmr50","http://twitter.com/undefined/status/879101578904563717"
"RT @AshleyNevel: Best seats in the house at the @thebig3 #FACTSONLY #NevelUp https://t.co/zjAAN9tCGs","SCAMUSIC","http://twitter.com/undefined/status/879100516898353152"
"Best seats in the house at the @thebig3 #FACTSONLY #NevelUp https://t.co/zjAAN9tCGs","AshleyNevel","http://twitter.com/undefined/status/879100034163331072"
"RT @yahoocountry: #nashville #drummer Learn from the best &amp; build that solid connection Sign up soon. @RichRedmond seats will be gone https…","RichRedmond","http://twitter.com/undefined/status/879098537413402624"
"Looking for the ultimate VIP experience? Get the best seats with PBR's Elite Seats https://t.co/76rB19mc28 https://t.co/FAiV5ar2Sp","bookerc_booker","http://twitter.com/undefined/status/879095981551362048"
