"tweet","user_screenname","tweet_url"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","AiraMaeBasilio","http://twitter.com/undefined/status/879127343712931840"
"Best tickets are free tickets https://t.co/uP7uvi1kXf","DeLuigii","http://twitter.com/undefined/status/879127275060346881"
"@AntiTrumpTV @joncoopertweets I like the idea a lot - I tend to think it will actually be warren\harris due to name… https://t.co/QRyBWl4uCE","QuislingMonitor","http://twitter.com/undefined/status/879127038568824832"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","maichardsarang","http://twitter.com/undefined/status/879126428800897025"
"Happy Birthday to @ArianaGrande We hope she has the BEST day! Catch her in September here: https://t.co/POfeq5PZWF… https://t.co/xm3hWMXsB5","TMResaleAU_NZ","http://twitter.com/undefined/status/879126197451579392"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","bing0314","http://twitter.com/undefined/status/879125339565301760"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","abegail_lansang","http://twitter.com/undefined/status/879125334032957440"
"RT @ShalitaGrant: Join Broadway and New York's best and SING FOR PRIDE tomorrow 6/26 2017 in NYC. Tickets: https://t.co/ZWRrfoFB3s #Broadwa…","sherylhartsel84","http://twitter.com/undefined/status/879125322825953280"
"@nyeongpark aww i hope you do get the best tickets possible! good luck neha x","nootitspingu","http://twitter.com/undefined/status/879124100903387136"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","nonailla1","http://twitter.com/undefined/status/879123628293464064"
"RT @CommonFanGrI: I want a boyfriend who will take me to concerts..\nor just a boyfriend..\nor just concert tickets..\nor concert tickets to s…","LexiiDha_Best","http://twitter.com/undefined/status/879123085592539136"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","fadul_nimfa","http://twitter.com/undefined/status/879122218390650880"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","bhelle008","http://twitter.com/undefined/status/879121348278206464"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","marissamtsinai","http://twitter.com/undefined/status/879121193013567492"
"@_DanLee Only if tickets available. Best to buy in advance from our website.","tnsfc","http://twitter.com/undefined/status/879120322833809408"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","imsosexygrace08","http://twitter.com/undefined/status/879120100132925440"
"RT @99MaryStreet: See Ben Fogg's Edinburgh Fringe Preview Show - 'How I Won Best Newcomer 2017' this Sat at Mary... free tickets... https:/…","elusvleprechaun","http://twitter.com/undefined/status/879119014102007808"
"RT @TS_Resort: Sibling 💞 is the best | Come see @donnyosmond &amp; @marieosmond live in The Ballroom July 22nd! \n\nGet tickets now: \nhttps://t.c…","mamma_val_1","http://twitter.com/undefined/status/879117285432152069"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","n03m03","http://twitter.com/undefined/status/879116672329629696"
"RT @nicoletteannmc: Not just about tickets kahit sa reservation ng parties and bulk food order inquiries :) will be best to discuss in deta…","ma1208an","http://twitter.com/undefined/status/879116032182435840"
"RT @IGPromos: Yo @AziziGibson is comin through in July supported by some of the best in Texas! \n\nHouston &amp; Dallas leggo!\n\nTickets: https://…","COSIGN_PD","http://twitter.com/undefined/status/879114803477962754"
"@JoshuaDove3 I see hmmm how many tickets do you have because me and my best friend wanna help you help us 😂😂","anjiusagii","http://twitter.com/undefined/status/879114255097888768"
"連絡まっています 10/9 (月) →Pia-no-jaC← 10th Anniversary BEST OF →PJ← TOUR 2017 クレイジーママキングダム (岡山) https://t.co/MOCZ3Tpknb","buy_tickets25","http://twitter.com/undefined/status/879114054291267584"
"@MariahCarey hi, it's me the best friend you don't know you have. 2 tickets to your Chicago show would literally make my life complete. 💗","mystic_mulatto","http://twitter.com/undefined/status/879113584151801856"
"RT @TS_Resort: Sibling 💞 is the best | Come see @donnyosmond &amp; @marieosmond live in The Ballroom July 22nd! \n\nGet tickets now: \nhttps://t.c…","vhernandez0307","http://twitter.com/undefined/status/879113336222253056"
"Line is forming for tickets. Rap + Hip Hop male female battle tonight paying best rapper cash prizes https://t.co/HvVfwB3Jjt","blackboston","http://twitter.com/undefined/status/879112793324212226"
"@MartinGarrix  I bought tickets this day just to see you in the airport,because you're the best person ,I miss u in… https://t.co/cML0qIxAYD","line_mendezz","http://twitter.com/undefined/status/879112621634584576"
