"tweet","user_screenname","tweet_url"
"https://t.co/bhdSd3WsGz Oceans and tropical shores offer light relief at Paul Smith #fashion #trends","LiminiaNews","http://twitter.com/undefined/status/879039610835406848"
"#ForSale: Commercial Retail on ground level, plus 2 bedroom apartments on the upper floors. https://t.co/YmZu03BX4S https://t.co/G7qnbajVSQ","psptravis","http://twitter.com/undefined/status/878956444833460225"
"RT @WFBusinessMag: Best Mad-Men-Era Design: @daniels_floors in Roswell, Ga.⠀\n⠀\nLaura Anzures, managing partner at Daniels Floors, had… http…","priyaranjanpr11","http://twitter.com/undefined/status/878952752314843136"
"RT @kissmemyfan_: [FANART] #Wuyifan #KrisWu \n\nThe 72 Floors Recording💫\n💚💚☀️✨\nCr.D'GA https://t.co/rlTQc4gRWw","Supaksorn_Kwan","http://twitter.com/undefined/status/878866724828831744"
"Q&amp;A with Engineered Floors Robert E. ""Bob"" Shaw on future of carpet industry https://t.co/Z01ZTIGIDA #flooring","mattlintonherts","http://twitter.com/undefined/status/878836164597362688"
"How to Clean Tile Floors with Vinegar and Baking Soda https://t.co/QtEQu1o4JW","londoncleaners2","http://twitter.com/undefined/status/878805963708391424"
"RT @Strange_Animals: The spiny turtle has spikes on its shell to mimic dead tree leaves on the forest floors of Southeast Asia. https://t.c…","Ima_Ga_Saikou","http://twitter.com/undefined/status/878688413322530816"
"Friend, wooden floors , ga ise ke fitlhe https://t.co/A7gLySNgFz","LekwaneM","http://twitter.com/undefined/status/878682219941965824"
"This property boasts nine slate fireplaces, original hardwood floors, hand crafted woodwork, and that stove!… https://t.co/DnVH4WRoYB","psptravis","http://twitter.com/undefined/status/878639109933338624"
"FT: 2 GA Floors For Phish 7/26, Or For Phish 7/29 Pittsburgh Tix @Phish #facevaluetickets #phish #facevalue  [Go: https://t.co/z1JMuUqigR]","CashorTrade","http://twitter.com/undefined/status/878623620242788352"
"FT: 2 GA Floors For Phish 7/26, Or For Phish 7/29 Pittsburgh Tix @Phish  [Go: https://t.co/oRQUx731oa]","COT_Phish","http://twitter.com/undefined/status/878623618955186176"
"RT @LiveNationON: (2/2) Reminder for fans that purchased GA Floors that it is Credit Card Entry only. More info: https://t.co/oGLkbWyLwo #U…","matttttane","http://twitter.com/undefined/status/878548949316980738"
"Cleaning Floors Woodbury GA #Atlanta #Jobs https://t.co/yVFB8jgHXg","ATL_Joblist","http://twitter.com/undefined/status/878445981355954176"
"Cleaning Floors Jasper GA #Atlanta #Jobs https://t.co/i00A7uG4c0","ATL_Joblist","http://twitter.com/undefined/status/878445979653074944"
